appId;title;summary
com.mtpelerin.bridge;Bridge Wallet, the Swiss app for Bitcoin & Crypto;Buy and cash out cryptocurrencies with zero fees
exchange.delta;Delta Exchange - Bitcoin & Crypto Trading;"Trade Perpetual swaps, futures and options on Bitcoin &amp; 70+ Cryptocurrencies."
com.blockfi.mobile;BlockFi: Earn Interest. Borrow Cash. Trade Crypto.;Earn interest--up to 8.6% APY. Borrow cash against your crypto. Trade crypto.
com.okinc.okcoin.intl;Okcoin - Buy bitcoin and other crypto;Best Bitcoin Exchange
com.wirex;Wirex Card & Multicurrency Crypto Wallet;Buy, store, and exchange fiat or cryptocurrencies at OTC and interbank rates.
com.legendwd.hyperpayW;HyperPay: Crypto & BTC Wallet;"Easily Buy &amp; Sell bitcoin, eth"
com.redot.app;Redot Exchange - Bitcoin, Ethereum, Crypto Trading;"Trade digital assets with lowest fees &amp; top technology on EU licensed exchange."
com.enjin.mobile.wallet;Enjin: Bitcoin, Ethereum, NFT Crypto Wallet;"🛡️Secure &amp; Trustworthy🛡️ Exchange, Sell &amp; Send NFT, BTC, ETH, LTC, &amp; 100+ More"
cryptocurrency.exchange;CryptoHub - Cryptocurrency Exchange;CryptoHub - Cryptocurrency Exchange is a cryptocurrency exchange platform.
net.cryptex.exchange.twa;Cryptex Exchange - Buy and Sell Bitcoin;Cryptex is a safe, easy, and quick way to exchange cryptocurrencies.
com.elrond.maiar.wallet;Maiar: Crypto & eGold Wallet - Buy, Earn & Stake;Manage your crypto and eGold with unprecedented safety and simplicity.
com.fusionmedia.investing;Investing.com: Stocks, Finance, Markets & News;Get real-time stock alerts and breaking news to track volatile markets now!
com.supers.snapex;SnapEx Pro - Trade Bitcoin up to 100x;Trading is a snap
com.ankerpay.wallet;AnkerPay: Blockchain Crypto Wallet – BTC, ETH, LTC;"Crypto wallet for Bitcoin, Ethereum, Litecoin &amp; other | Cryptocurrency Exchange"
com.tradesanta;TradeSanta: Trading Bots for Binance, Huobi;Trade on Binance, HitBTC, Huobi, UpBit with automated cryptocurrency bots.
