,appId,fraudulent,bugs,authentication,security,usability,ads_tracker,cust_support,total_negative,total,pct_negative,pct_fraud,pct_bugs,pct_auth,pct_sec,pct_usa,pct_ads,pct_cust
187,com.mexcpro.client,59,122,45,4,42,1,19,460,1301,35.36,12.83,26.52,9.78,0.87,9.13,0.22,4.13
188,com.midasprotocol.wallet.android,3,1,2,0,0,1,0,15,78,19.23,20.0,6.67,13.33,0.0,0.0,6.67,0.0
189,com.monnos.android,0,1,2,0,1,0,0,15,78,19.23,0.0,6.67,13.33,0.0,6.67,0.0,0.0
190,com.mtpelerin.bridge,1,2,0,0,0,0,0,2,18,11.11,50.0,100.0,0.0,0.0,0.0,0.0,0.0
191,com.mycelium.wallet,216,111,78,26,40,23,142,773,2397,32.25,27.94,14.36,10.09,3.36,5.17,2.98,18.37
192,com.mycontainer,12,6,7,2,3,0,3,32,191,16.75,37.5,18.75,21.88,6.25,9.38,0.0,9.38
193,com.neobitcoin.wallet,3,2,11,0,3,0,0,50,63,79.37,6.0,4.0,22.0,0.0,6.0,0.0,0.0
194,com.net_cents.netcents2,1,0,0,0,0,0,1,3,10,30.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33
195,com.newcurrency.coinstrunk.v1,4,2,2,0,1,0,1,8,28,28.57,50.0,25.0,25.0,0.0,12.5,0.0,12.5
196,com.newgo.coincola,31,7,11,2,5,0,8,75,172,43.6,41.33,9.33,14.67,2.67,6.67,0.0,10.67
197,com.nexowallet,130,173,285,27,35,7,73,871,2597,33.54,14.93,19.86,32.72,3.1,4.02,0.8,8.38
198,com.ninjacoin,6,1,0,0,0,0,0,9,18,50.0,66.67,11.11,0.0,0.0,0.0,0.0,0.0
199,com.nobillio.coinbaazar,0,0,1,0,0,0,0,2,9,22.22,0.0,0.0,50.0,0.0,0.0,0.0,0.0
200,com.node.coindirect,119,13,59,6,24,1,29,252,391,64.45,47.22,5.16,23.41,2.38,9.52,0.4,11.51
201,com.nova.dax,4,1,2,0,0,0,0,29,93,31.18,13.79,3.45,6.9,0.0,0.0,0.0,0.0
202,com.okinc.okex.gp,233,727,357,25,178,20,68,2179,15808,13.78,10.69,33.36,16.38,1.15,8.17,0.92,3.12
203,com.ownrwallet.wallet,17,3,5,0,1,0,1,37,654,5.66,45.95,8.11,13.51,0.0,2.7,0.0,2.7
204,com.panaeshacapital.pcex,1,3,2,0,0,0,0,7,18,38.89,14.29,42.86,28.57,0.0,0.0,0.0,0.0
205,com.paxful.wallet,861,329,793,95,200,5,239,2695,9621,28.01,31.95,12.21,29.42,3.53,7.42,0.19,8.87
206,com.paymintlabs.paymint,2,0,1,0,0,0,0,2,7,28.57,100.0,0.0,50.0,0.0,0.0,0.0,0.0
207,com.payplux,6,2,30,1,1,1,4,61,154,39.61,9.84,3.28,49.18,1.64,1.64,1.64,6.56
208,com.paytomat,1,0,1,0,0,0,0,10,62,16.13,10.0,0.0,10.0,0.0,0.0,0.0,0.0
209,com.phemex.app,282,33,322,12,86,4,48,962,1641,58.62,29.31,3.43,33.47,1.25,8.94,0.42,4.99
210,com.pint.app,3,1,2,1,1,0,4,23,138,16.67,13.04,4.35,8.7,4.35,4.35,0.0,17.39
211,com.plasmapay.androidapp,0,3,1,0,0,1,0,4,5,80.0,0.0,75.0,25.0,0.0,0.0,25.0,0.0
