app_name,anti_vm,obfuscator,anti_debug,anti_disassembly,manipulator,packer
com.bitcoinofamerica.wallet,True,False,False,False,False,False
com.bixin.bixin_android,True,False,False,False,False,False
com.coinomi.wallet,True,False,True,False,False,False
net.walletharcomia.android,True,False,True,False,False,False
io.muun.apollo,True,False,True,False,False,False
com.bitazza.android,True,False,True,False,False,False
capital.spatium.wallet,True,False,True,False,False,False
com.oracle.wallet,True,False,False,False,False,False
co.edgesecure.app,True,False,False,False,False,False
com.hagglex.hagglex,True,False,False,False,False,False
com.bitpapa,True,False,True,False,False,False
io.hexawallet.hexa,True,False,True,False,False,False
kuna.beta,True,False,True,False,False,False
com.callsfreecalls.android,True,False,True,False,False,False
vip.mytokenpocket,False,False,False,False,False,True
com.beecrypt.beecrypthd,True,False,True,False,False,False
im.token.app99,True,False,True,False,False,False
com.incognito.wallet,True,False,True,False,False,False
com.youhodler.youhodler,True,False,True,False,False,False
com.neobitcoin.wallet,True,False,True,True,False,False
com.bitcoin.mwallet,True,False,False,False,False,False
cobo.wallet,False,False,False,False,False,False
com.kubi.kucoin,True,True,False,False,False,True
com.coinhako,True,True,True,False,False,False
im.token.app,False,False,False,False,False,True
com.plutus.wallet,True,True,True,False,False,False
com.medishares.android,True,True,True,False,False,False
com.trusteewallet,True,False,True,False,False,False
com.ezdefi,True,False,True,False,False,False
com.crypterium,True,True,True,False,False,False
co.bacoor.android.hbwallet,True,False,False,False,False,False
com.theblockchain.coinus.wallet,True,False,True,False,False,False
com.bitpie,True,False,False,False,False,False
io.bluewallet.bluewallet,True,False,True,False,False,False
com.dok.wallet,True,True,True,False,False,False
com.pumapay.pumawallet,True,True,True,False,False,False
com.drcrypto.wallet,True,True,True,False,False,False
com.iMe.android,True,False,True,False,False,False
com.mexcpro.client,True,True,True,False,False,True
coin98.crypto.finance.media,True,False,False,False,False,False
com.aax.exchange,True,False,True,False,False,False
io.infinito.wallet,True,True,False,False,False,False
com.bitshield.bitshieldwallet,True,False,False,False,False,False
com.spot.spot,True,False,True,False,False,False
asia.coins.mobile,True,False,True,False,False,False
com.hconline.iso,True,True,False,False,False,False
it.airgap.wallet,True,False,True,False,False,False
com.midasprotocol.wallet.android,True,False,True,False,False,False
com.greenaddress.greenbits_android_wallet,True,False,False,False,False,False
com.mtpelerin.bridge,True,False,False,False,False,False
im.status.ethereum,True,False,False,False,False,False
com.binance.dev,True,True,True,False,False,True
fio.ecoin.wallet,True,False,False,False,False,False
network.celsius.wallet,True,True,True,False,False,False
app.elaphant.wallets,True,False,True,False,False,False
com.eletac.tronwallet,True,False,True,False,False,False
com.legendwd.hyperpayW,True,False,False,False,False,True
com.quarkonium.qpocket,True,False,False,False,False,False
jp.co.smartapp.gowallet,True,True,True,False,False,False
