app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,Github,Utility,False,False,False,False
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,Facebook,Social networking service,False,False,False,False
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,Bumptech,Utility,False,False,False,False
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,Google Ads,Targeted ads,True,False,False,True
me.coinpal.app,Google Ads,Targeted ads,True,False,False,True
me.coinpal.app,Google Analytics,Mobile analytics,False,True,False,True
me.coinpal.app,Squareup,Payment,False,False,False,False
me.coinpal.app,Bumptech,Utility,False,False,False,False
me.cryptopay.android,Facebook,Social networking service,False,False,False,False
me.cryptopay.android,Appsflyer,Targeted ads,True,False,False,True
me.cryptopay.android,Bumptech,Utility,False,False,False,False
net.bitbay.bitcoin,Github,Utility,False,False,False,False
net.bitbay.bitcoin,Facebook,Social networking service,False,False,False,False
net.bitbay.bitcoin,Bumptech,Utility,False,False,False,False
net.bitcoinrevolution.bitcoin.cash.wallet,Squareup,Payment,False,False,False,False
net.bitcoinrevolution.bitcoin.cash.wallet,Flurry,Analytics,False,False,True,True
net.bitcoinrevolution.bitcoin.cash.wallet,Bumptech,Utility,False,False,False,False
net.bitcoinrevolution.bitcoin.cash.wallet,Google Ads,Targeted ads,True,False,False,True
net.bitstamp.app,Squareup,Payment,False,False,False,False
net.bitstamp.app,Github,Utility,False,False,False,False
net.bitstamp.app,Facebook,Social networking service,False,False,False,False
net.bitstamp.app,Mixpanel,Mobile analytics,False,True,False,True
net.bitstamp.app,Bumptech,Utility,False,False,False,False
net.bitstamp.app,Google Ads,Targeted ads,True,False,False,True
net.iconomi.android,Kochava,Mobile analytics,False,True,False,True
net.tendancesbitcoin.free.bitcoin.bch.wallet,Squareup,Payment,False,False,False,False
net.tendancesbitcoin.free.bitcoin.bch.wallet,Flurry,Analytics,False,False,True,True
net.tendancesbitcoin.free.bitcoin.bch.wallet,Bumptech,Utility,False,False,False,False
network.xyo.coin,Fasterxml,Utility,False,False,False,False
network.xyo.coin,Github,Utility,False,False,False,False
network.xyo.coin,Google Ads,Targeted ads,True,False,False,True
network.xyo.coin,Chartboost,Targeted ads,True,False,False,True
network.xyo.coin,Facebook,Social networking service,False,False,False,False
network.xyo.coin,Appsflyer,Targeted ads,True,False,False,True
network.xyo.coin,Applovin,Targeted ads,True,False,False,True
network.xyo.coin,Bumptech,Utility,False,False,False,False
network.xyo.coin,AppLovin,Targeted ads,True,False,False,True
network.xyo.coin,Inmobi,Targeted ads,True,False,False,True
network.xyo.coin,Unity3d,Game engine,False,False,False,False
network.xyo.coin,Squareup,Payment,False,False,False,False
network.xyo.coin,Tapjoy,Targeted ads,True,False,False,True
network.xyo.coin,Vungle,Targeted ads,True,False,False,True
network.xyo.coin,Unity Ads,Targeted ads,True,False,False,True
network.xyo.coin,TapJoy,Targeted ads,True,False,False,True
new.rich.wallet,Squareup,Payment,False,False,False,False
new.rich.wallet,Jcraft,Utility,False,False,False,False
new.rich.wallet,Github,Utility,False,False,False,False
new.rich.wallet,Jakewharton,Ui component,False,False,False,False
org.coinid.vault,Facebook,Social networking service,False,False,False,False
org.coinid.vault,Adobe,Utility,False,False,False,False
org.cryptoblastersltd.bitcoin.wallet.account,Squareup,Payment,False,False,False,False
org.cryptoblastersltd.bitcoin.wallet.account,Flurry,Analytics,False,False,True,True
org.cryptoblastersltd.bitcoin.wallet.account,Bumptech,Utility,False,False,False,False
org.cryptoblastersltd.bitcoin.wallet.account,Google Ads,Targeted ads,True,False,False,True
org.cryptoforecast.free.bitcoin.cash.wallet.app,Squareup,Payment,False,False,False,False
org.cryptoforecast.free.bitcoin.cash.wallet.app,Flurry,Analytics,False,False,True,True
org.cryptoforecast.free.bitcoin.cash.wallet.app,Bumptech,Utility,False,False,False,False
org.cryptosignals.bitcoin.free.wallet,Squareup,Payment,False,False,False,False
