app_id,N/A,customized,dangerous,normal,signature
info.mysecurewallet.wallet,,,1.0,1.0,
io.atomicwallet,,14.0,3.0,4.0,2.0
io.bincap.exchange,,3.0,1.0,4.0,1.0
io.bluewallet.bluewallet,,19.0,2.0,8.0,4.0
io.bolt.mibwallet,,5.0,5.0,6.0,2.0
io.cex.app.prod,,4.0,4.0,9.0,2.0
io.crypto.wallet.bitcoin.ethereum.medooza.wallet,,18.0,4.0,5.0,3.0
io.deviantcoin.android,,,3.0,7.0,
io.eidoo.wallet.prodnet,,25.0,3.0,6.0,3.0
io.eosnova.wallet.android,,3.0,1.0,5.0,1.0
io.exaking.starter,,21.0,4.0,5.0,3.0
io.goldwallet.wallet,,4.0,3.0,9.0,2.0
io.hexawallet.hexa,1.0,21.0,5.0,8.0,5.0
io.infinito.wallet,,17.0,5.0,7.0,4.0
io.kompasswallet,,4.0,3.0,5.0,2.0
io.kriptomat.app,,6.0,5.0,5.0,2.0
io.melis.clientwallet,,,1.0,3.0,
io.metamask,,14.0,2.0,6.0,3.0
io.muun.apollo,,4.0,3.0,7.0,1.0
io.nash.app,,20.0,3.0,8.0,4.0
io.rapids.network.wallet,,,2.0,6.0,
io.rscoins.network,1.0,14.0,8.0,7.0,5.0
io.safepal.wallet,,2.0,5.0,7.0,
io.smartholdem.client,,,3.0,3.0,
io.totalcoin.wallet,1.0,3.0,5.0,6.0,1.0
io.uun.clet,,19.0,5.0,5.0,3.0
io.wallet,2.0,6.0,7.0,11.0,4.0
io.yellowcard.app,,,2.0,1.0,
it.airgap.vault,,,2.0,2.0,
it.airgap.wallet,,2.0,1.0,4.0,1.0
it.inbitcoin.altana,,,3.0,5.0,
jp.co.smartapp.gowallet,,3.0,4.0,6.0,1.0
jp.coincheck.android,,4.0,3.0,8.0,2.0
kr.co.keypair.keywalletTouch,,2.0,4.0,8.0,1.0
kuna.beta,,8.0,4.0,8.0,1.0
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,,,,4.0,1.0
lt.spectrofinance.spectrocoin.android.wallet,,3.0,4.0,6.0,1.0
ltcc.org.freewallet.app,,22.0,4.0,6.0,3.0
me.coinpal.app,,3.0,4.0,4.0,1.0
me.cryptopay.android,,3.0,4.0,8.0,2.0
mn.godeal.gopay,,3.0,4.0,5.0,1.0
mw.org.freewallet.app,,22.0,4.0,5.0,3.0
neo.org.freewallet.app,,22.0,4.0,6.0,3.0
net.bitbay.bitcoin,,3.0,2.0,6.0,1.0
net.bitcoinrevolution.bitcoin.cash.wallet,,,,4.0,
net.bither,1.0,,4.0,8.0,
net.bitstamp.app,,4.0,4.0,10.0,2.0
net.coinpayments.coinpaymentsapp,,1.0,3.0,3.0,
net.ethylyte.com,,,1.0,1.0,
net.iconomi.android,,2.0,2.0,11.0,1.0
net.tendancesbitcoin.free.bitcoin.bch.wallet,,,,2.0,
net.walletharcomia.android,,4.0,4.0,5.0,1.0
network.celsius.wallet,,15.0,7.0,8.0,2.0
network.xyo.coin,1.0,8.0,8.0,11.0,2.0
new.rich.wallet,,,1.0,1.0,
nxt.org.freewallet.app,,22.0,4.0,6.0,3.0
one.mixin.messenger,,3.0,9.0,13.0,4.0
org.bitcoinox.bitcoinoxwallet,1.0,4.0,2.0,8.0,2.0
org.coinid.vault,,,1.0,5.0,
org.coinid.wallet.btc,,,4.0,4.0,
org.coinid.wallet.grs,,,4.0,4.0,
org.coinid.wallet.tbtc,,,4.0,4.0,
org.coinid.wallet.tgrs,,,4.0,4.0,
org.coinid.wallet.xmy,,,4.0,4.0,
org.coinsence.wallet,,14.0,1.0,3.0,2.0
org.cryptoblastersltd.bitcoin.wallet.account,,,,4.0,
org.cryptoforecast.free.bitcoin.cash.wallet.app,,,,2.0,
org.cryptosignals.bitcoin.free.wallet,,,,2.0,
org.cryptosignals.bitcoin.free.wallet1,,,,2.0,
org.cryptosignals.free.bitcoin.cash.wallet,,,,2.0,
org.deuscoin.wallet,,10.0,3.0,5.0,
org.electroncash.wallet,,,1.0,3.0,1.0
org.electrum.electrum,,,2.0,1.0,
org.guapcoin.multiwallet,,3.0,4.0,4.0,1.0
org.nativescript.mywallets,,4.0,4.0,3.0,1.0
org.strayacoin.bitcoinpos,,4.0,5.0,8.0,3.0
org.strayacoin.litecoinpos,,4.0,5.0,8.0,3.0
org.topnetwork.hiwallet,3.0,8.0,7.0,15.0,5.0
org.toshi,,4.0,2.0,6.0,1.0
org.tronspace.android,,,2.0,1.0,
org.walleth,,,2.0,6.0,1.0
paydeepp.elegro.io,,5.0,5.0,6.0,1.0
pe.bluemountain419.jungledex,1.0,15.0,12.0,8.0,4.0
piuk.blockchain.android,,3.0,2.0,9.0,1.0
pt.ipleiria.estg.dei.yabw,,1.0,1.0,2.0,
roseon.finance,2.0,7.0,8.0,10.0,3.0
starlab.studios.cryptowallet,,,,4.0,1.0
tech.central.ctocoin,,22.0,4.0,8.0,3.0
tech.vontech.blockchain.jetoken,,22.0,7.0,7.0,3.0
trx.org.freewallet.app,,22.0,4.0,6.0,3.0
tw.org.freewallet.app,,19.0,3.0,6.0,4.0
urubit.uwallet.app,,,3.0,6.0,2.0
usdt.org.freewallet.app,,22.0,4.0,6.0,3.0
vip.mytokenpocket,2.0,5.0,7.0,11.0,4.0
xmr.org.freewallet.app,,22.0,4.0,6.0,3.0
xrp.org.freewallet.app,,22.0,4.0,6.0,3.0
za.co.rockwallet,,,3.0,2.0,
zapsolutions.zap,,,1.0,6.0,
