,app_id,customized,dangerous,normal,signature,unknown
349,global.bithumb.android,11.0,4.0,9.0,2.0,3.0
350,hodl.group.xrpio,19.0,2.0,5.0,1.0,
351,i.brains.pandax,3.0,4.0,8.0,1.0,
352,im.status.ethereum,3.0,5.0,9.0,,
353,im.token.app,7.0,7.0,12.0,4.0,2.0
354,im.token.app99,5.0,8.0,12.0,3.0,2.0
355,im.yitoken.app.g2,,3.0,7.0,1.0,
356,info.mysecurewallet.wallet,,1.0,1.0,,
357,io.atomicwallet,16.0,3.0,4.0,,
358,io.bincap.exchange,3.0,1.0,4.0,1.0,
359,io.bluewallet.bluewallet,21.0,2.0,8.0,2.0,
360,io.bolt.mibwallet,5.0,5.0,6.0,2.0,
361,io.cex.app.prod,4.0,4.0,9.0,2.0,
362,io.crypto.wallet.bitcoin.ethereum.medooza.wallet,20.0,4.0,5.0,1.0,
363,io.deviantcoin.android,,3.0,7.0,,
364,io.eidoo.wallet.prodnet,27.0,3.0,6.0,1.0,
365,io.eosnova.wallet.android,3.0,1.0,5.0,1.0,
366,io.exaking.starter,23.0,4.0,5.0,1.0,
367,io.goldwallet.wallet,4.0,3.0,9.0,2.0,
368,io.hexawallet.hexa,23.0,5.0,8.0,3.0,1.0
369,io.infinito.wallet,19.0,5.0,7.0,2.0,
370,io.kompasswallet,4.0,3.0,5.0,2.0,
371,io.kriptomat.app,6.0,5.0,5.0,2.0,
372,io.melis.clientwallet,,1.0,3.0,,
373,io.metamask,15.0,2.0,6.0,2.0,
374,io.muun.apollo,4.0,3.0,7.0,1.0,
375,io.nash.app,22.0,3.0,8.0,2.0,
376,io.rapids.network.wallet,,2.0,6.0,,
377,io.rscoins.network,16.0,8.0,7.0,3.0,1.0
378,io.safepal.wallet,2.0,5.0,7.0,,
379,io.smartholdem.client,,3.0,3.0,,
380,io.totalcoin.wallet,3.0,5.0,6.0,1.0,1.0
381,io.uun.clet,21.0,5.0,5.0,1.0,
382,io.wallet,6.0,7.0,11.0,4.0,2.0
383,io.yellowcard.app,,2.0,1.0,,
384,it.airgap.vault,,2.0,2.0,,
385,it.airgap.wallet,2.0,1.0,4.0,1.0,
386,it.inbitcoin.altana,,3.0,5.0,,
387,jp.co.smartapp.gowallet,3.0,4.0,6.0,1.0,
388,jp.coincheck.android,4.0,3.0,8.0,2.0,
389,kr.co.keypair.keywalletTouch,2.0,4.0,8.0,1.0,
390,kuna.beta,8.0,4.0,8.0,1.0,
391,latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,,,4.0,1.0,
392,lt.spectrofinance.spectrocoin.android.wallet,3.0,4.0,6.0,1.0,
393,ltcc.org.freewallet.app,24.0,4.0,6.0,1.0,
394,me.coinpal.app,3.0,4.0,4.0,1.0,
395,me.cryptopay.android,3.0,4.0,8.0,2.0,
396,mn.godeal.gopay,3.0,4.0,5.0,1.0,
397,mw.org.freewallet.app,24.0,4.0,5.0,1.0,
398,neo.org.freewallet.app,24.0,4.0,6.0,1.0,
399,net.bitbay.bitcoin,3.0,2.0,6.0,1.0,
400,net.bitcoinrevolution.bitcoin.cash.wallet,,,4.0,,
401,net.bither,,4.0,8.0,,1.0
402,net.bitstamp.app,4.0,4.0,10.0,2.0,
403,net.coinpayments.coinpaymentsapp,1.0,3.0,3.0,,
404,net.ethylyte.com,,1.0,1.0,,
405,net.iconomi.android,2.0,2.0,11.0,1.0,
406,net.tendancesbitcoin.free.bitcoin.bch.wallet,,,2.0,,
407,net.walletharcomia.android,4.0,4.0,5.0,1.0,
408,network.celsius.wallet,16.0,7.0,8.0,1.0,
409,network.xyo.coin,8.0,8.0,11.0,2.0,1.0
410,new.rich.wallet,,1.0,1.0,,
411,nxt.org.freewallet.app,24.0,4.0,6.0,1.0,
412,one.mixin.messenger,3.0,9.0,13.0,4.0,
413,org.bitcoinox.bitcoinoxwallet,4.0,2.0,8.0,2.0,1.0
414,org.coinid.vault,,1.0,5.0,,
415,org.coinid.wallet.btc,,4.0,4.0,,
416,org.coinid.wallet.grs,,4.0,4.0,,
417,org.coinid.wallet.tbtc,,4.0,4.0,,
418,org.coinid.wallet.tgrs,,4.0,4.0,,
419,org.coinid.wallet.xmy,,4.0,4.0,,
420,org.coinsence.wallet,16.0,1.0,3.0,,
421,org.cryptoblastersltd.bitcoin.wallet.account,,,4.0,,
422,org.cryptoforecast.free.bitcoin.cash.wallet.app,,,2.0,,
423,org.cryptosignals.bitcoin.free.wallet,,,2.0,,
424,org.cryptosignals.bitcoin.free.wallet1,,,2.0,,
425,org.cryptosignals.free.bitcoin.cash.wallet,,,2.0,,
426,org.deuscoin.wallet,10.0,3.0,5.0,,
427,org.electroncash.wallet,,1.0,3.0,1.0,
428,org.electrum.electrum,,2.0,1.0,,
429,org.guapcoin.multiwallet,3.0,4.0,4.0,1.0,
430,org.nativescript.mywallets,4.0,4.0,3.0,1.0,
431,org.strayacoin.bitcoinpos,4.0,5.0,8.0,3.0,
432,org.strayacoin.litecoinpos,4.0,5.0,8.0,3.0,
433,org.topnetwork.hiwallet,8.0,7.0,15.0,5.0,3.0
434,org.toshi,4.0,2.0,6.0,1.0,
435,org.tronspace.android,,2.0,1.0,,
436,org.walleth,,2.0,6.0,1.0,
437,paydeepp.elegro.io,5.0,5.0,6.0,1.0,
438,pe.bluemountain419.jungledex,15.0,12.0,8.0,4.0,1.0
439,piuk.blockchain.android,3.0,2.0,9.0,1.0,
440,pt.ipleiria.estg.dei.yabw,1.0,1.0,2.0,,
441,roseon.finance,7.0,8.0,10.0,3.0,2.0
442,starlab.studios.cryptowallet,,,4.0,1.0,
443,tech.central.ctocoin,24.0,4.0,8.0,1.0,
444,tech.vontech.blockchain.jetoken,24.0,7.0,7.0,1.0,
445,trx.org.freewallet.app,24.0,4.0,6.0,1.0,
446,tw.org.freewallet.app,21.0,3.0,6.0,2.0,
447,urubit.uwallet.app,,3.0,6.0,2.0,
448,usdt.org.freewallet.app,24.0,4.0,6.0,1.0,
449,vip.mytokenpocket,5.0,7.0,11.0,4.0,2.0
450,xmr.org.freewallet.app,24.0,4.0,6.0,1.0,
451,xrp.org.freewallet.app,24.0,4.0,6.0,1.0,
452,za.co.rockwallet,,3.0,2.0,,
453,zapsolutions.zap,,1.0,6.0,,
